target (driver),lib (driven),E,tau,convergence_p_value,ccm_rho,average_trials_rho,p95_trials_rho,p99_trials_rho,activity,average_direction,pct_time_positive,pct_time_negative,Domain,Phylum,Class,Order,Family,Domain_lib,Phylum_lib,Class_lib,Order_lib,Family_lib
f__Pseudoalteromonadaceae,f__Unknown_Family,3,-1,2.2721955328011254e-09,0.5223344370981327,-0.0237420001409304,0.2157315399098978,0.2340770699545724,16.40625,-0.7799239145868457,0.0,89.0625,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Alphaproteobacteria_Incertae_Sedis,f__Unknown_Family
f__Pseudoalteromonadaceae,f__Parvibaculaceae,5,-2,4.720943700524671e-21,0.4534583508448347,-0.0401242461501367,0.2523941759675056,0.4324779894217473,16.39344262295082,-0.5118570760709149,0.0,79.50819672131148,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__Parvibaculaceae
f__Pseudoalteromonadaceae,f__Saccharospirillaceae,5,-3,4.0818667493388086e-10,0.4024948795579842,-0.0549729803523342,0.2185704601226895,0.3635348002059946,14.40677966101695,0.2638717703855737,72.88135593220339,3.389830508474576,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Saccharospirillaceae
f__Pseudoalteromonadaceae,f__Stappiaceae,5,-3,7.344043531466169e-09,0.644521912318895,-0.059081840112091,0.1782579215254879,0.294774823997168,24.57627118644068,-1.5980492910888513,0.0,76.27118644067797,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae
f__Pseudoalteromonadaceae,f__Pseudohongiellaceae,5,-3,2.47176956110648e-21,0.595888524494701,-0.0278662728159859,0.2414507766234496,0.37872221959001,20.33898305084746,-0.6967373434913002,0.0,76.27118644067797,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Pseudohongiellaceae
f__Pseudoalteromonadaceae,f__Saprospiraceae,5,-3,0.902435157017336,0.3844502842980295,-0.0286404105830655,0.3254669659160306,0.3558312262398138,14.40677966101695,-1.2537174115039902,0.0,76.27118644067797,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae
f__Flavobacteriaceae,f__Pseudoalteromonadaceae,2,-3,2.2036165924939502e-24,0.3968012349311701,0.0009517558081859,0.2423774808054041,0.3147166209034899,8.661417322834646,0.0348598710419109,62.99212598425197,27.55905511811024,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae
f__Flavobacteriaceae,f__Vibrionaceae,3,-1,4.7460118228810126e-14,0.1855000791891724,-0.0419151011252126,0.1971810000928265,0.2633266516655191,8.59375,0.0410864831864569,57.03125,32.03125,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae
f__Pseudoalteromonadaceae,Prod_over_time,3,-2,3.1720159049314333e-28,0.6273321965584121,-0.0207226860218052,0.2249993530250462,0.2737889952127869,17.46031746031746,-0.2490061046982311,12.698412698412698,74.60317460317461,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,,,,,
f__Flavobacteriaceae,f__Alteromonadaceae,4,-2,2.019529283558456e-05,0.2432194334049399,-0.0256427961177262,0.1685816569081508,0.2896746533929793,7.258064516129033,0.3173467110234523,83.06451612903226,0.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae
